text,label
moi j'ai personne à qui m'adresser pour réclamer. le voisin c'est un attardé puant et bruyant dans les administrat…,1
c...est vrai que les anchois sont aller sur la lune et invente de million de technologie !,0
eh les renois faut se réveiller la,0
sjw et féministe twitter un sale combo,0
tu sais aussi pourquoi est au dessus ? parce que si veut demain bah ya plus d'ani...,0
4 réfugiés arabes lardent de coups de couteau une ado allemande enceinte de 5 mois qui cru qu’elle p…,1
dekoi tu parle jte dis ta ps honte de dire half black lieu de half pakpak attardé,0
le « sale juif » mis en avant contrairement aux autres mdr,1
ohhh la violence je meuuurs,0
l'empire mongol,0
et vous vous êtes contres la pma pour tout le monde et contre l’avortement. el…,0
pour ou contre l'avortement ?,0
d'autant plus bizarre que flavius josèphe est resté juif jusqu'au bout des ongles.,0
quand je sors de chez le coiffeur j’suis vraiment le plus beau de tous les rebeus,0
oui je ne comprends pas pourquoi ceux qui veulent accueillir les migrants n'en prennent pas…,0
j'essaie de bien comprendre maintenant je sais que quand dit qu'on est antisioniste il…,0
doudoune et ugg vraiment les renois abusent,0
tu nous ramène une maladie de jérusalem?],1
décidément n'importe quel attardé peut de nos jours détenir la carte professionnelle. revoyez le con…,0
mr simon vous ne pouvez justifier voir atténuer la violence des propos de mr zemmou…,0
je suis végétarien et voici ce que rencontre avec un éleveur mongol m'a fait réaliser sur l'écologie,0
y'a une meuf dans classe elle se pleins du racisme envers les arabes mais taleur elle traiter un asiatique de ching cho,1
dc maintenant dire que  ou le  sont des lobby juif et sioniste sachant qu’il se revendique tel que…,0
ce n’est pas tous les renois qui suivent son raisonnement ne l’insulte pas tu perds des hassanets pour rien,0
les arabes empruntent le zéro aux indiens au ix eme siècle !!!,0
zemmour aphatie radicalité de l'un terrorisme intellectuel de l'autre ... une maladie: les idéologies une vic…,1
qui de deter aller au chinois ds la semaine la j...ai trop envie d...un noich,0
euthanasie avortement peine de mort   la société contre la vie bat son plein et le diable vous embra…,0
c'est tres classique qu'apres une periode gauchiste un redressement s'effectue d'autant plus violent que la period,0
c’est de la violence dont vous êtes le produit?,0
juste un gauchiste toujours à donner des leçons de morale,0
vous comprenez tout de travers. il n'appelle pas les africains à franciser leurs noms…,0
bien des migrants vivaient aussi dans l'illégalité aux États-unis,0
mairie socialope islamo-gauchiste traitre à la france pour résumer,0
le secours catholique ardent promoteur de l'ensauvagement et de l'islamisation de l'europe ! son catholicisme dévo…,1
l'islamisation de la france en pleine expansionle résultat de l'infiltration des musulmans ds ts les strates de la…,0
les rebeus il glo à la fac grâce à la barbe,0
les tutos en français sur youtube c’est insupportable les 3/4 des vidéos c’est des mecs ils te parlent comme si t’étais un attardé,0
dirait un gros daron antillais sur la derniere,0
je ne suis pas un gauchiste comme tu le dis. je ne suis jamais considere de gauche. toi tu es...,0
ce qui tue c'est que meme offset il en marre de cardi b wallah apars sa reuss personne peut la supporte cette grosse mongol,1
ouais mais si les arabes ont perdu la et pas ailleurs c'est aussi parce que nous…,0
? quelle forme de violence ? je pose juste la question de savoir ce q…,0
je déteste alain soral. c’est un raciste antisémite complotiste manipulateur,0
si vous voulez mon avis le patient mike doit canaliser tout son amour sous forme de violence...,0
bouahahhaa il se branle sur les cosplay de sneaky cet attardé,0
sociale. piratage informatique. vandalisme auto,0
mdrr fallou mongol un vrai saï saï regardez le deal qu’il pose à l’animatrice...,1
qué mongol ce germain il court jusqu’au champs Élysée au lieu de rester placé devant les cages,0
vive les rebeus,0
pensez-vous que les rebeus et renois s’aiment réellement ?,0
2/2 de predateurs mangent aussi par gout renseigne toi le chat est l...exemple par...,0
grèce: les transferts de réfugiés et migrants vers le continent s’accélèrent,0
40 années de laxisme gauchiste !!!!,1
la logique d'un gauchiste,0
les sunnites autorisent meurtrespédophiliepolygamie violence contre les femmes etc.tous les pays…,1
normalement en afrique nos dirigent doivent utiliser 50% de dictature et 50% de démocratie,0
la vraie question est: la france veut-elle encore un peu plus de violence !?,0
ils sont aussi complotiste anti-vaccin ?,0
des fils de putes autant que quand aime pas les noirs ou les arabes,1
tu plus fait pour la communauté musulmane rohyngia que tous les dirigeants arabes réunis…,0
paris: un centre d'hébergements pour réfugiés ouvre dans le 16e  via …,0
des noirs au milieu des rebeus pour la technique c’est mon lyon ça,1
de châtelet à gare du nord tu croise que des renois/ tysmés en survêt + teinture blonde flm,0
j’aimerais bien savoir pourquoi « l’islamogauchiste » est votre ennemi principal et…,0
