text,label
انا اوافقك بخصوص السوريين و العراقيين اما بخصوص السعودي مو بحاجه انه يقعد بالكويت بدو…,0
هذه السعودية التي شعبها شعب الخيم و بول البعير  الذي يستهزأ بها الناس,0
صباح التوكل على الله والسعي على رزقه والثقة فيما عنده,0
الكردي كلب من يوم يومه بحاجة دائما لسيد وهلا اصبحتم خنازير اسرائيل بمرتبة الكلب,1
لكن حرمة متبرجة تقف على المسرح وتغني امام الر…,0
يارب انصرنا,0
زمان كان الرجال فوق الخيل والحريم يتفرجون والان صا…,0
انت اكبر المشردين بايع ارضك وعرضك وتتكلم على اسيادك السعودية  ي كلب ي مرتزق ي خنزير,1
كتب الشيعة تطفح بروايات شرب بول البعير عن الصادق والكاظم أنتي قاعده تسبين الصا…,0
الصور العارية واجسام البنات ومقاطع منحرفة ، ستشهد عليها الاصابع يوم القيامة ، كفاكم استهانة قالجنة اغلى,0
صح لسانك بس الكلب وفي وهذا خنزير نتن,1
نظف من النظافه مش نضف. وين دارس؟ مش عيب اللي بشرب بول البعير يعلمك ولو,0
يازلمي أنت شو بتتعاطى. على الأرجح بول البعير,1
هذا لو كان عندهم عقل يفكروا به . بول البعير  جعلهم كالبهاءم,1
اتذكر اول كنا ندرب الاطفال اللوكيميا كيف الدفاع عن النفس في حاله التحرش واخذنا انذارات وهوشه بسبب انن…,0
وحدة مناهضة التحرش والعنف ضد المرأة,0
صحيح ، يوم كان علمنا ينير الأرض ويحسبه الأغبياء سحراً ، الإسلام سمح ببول البعير فقط في التداوي وهذا ما صدقه العلم ا…,0
let guess اللاجئون السوريون؟,0
والله لو بس تتركون بول البعير راح تصحون على نفسكم,0
معا لحماية أطفالنا من التحرش الجنسي,0
هههعععععع اي علوم ههههه بول البعير,1
ناقشه بمعزل تاااااااام عن قضية التبرج,0
الظاهر الاخ برونطو بلش يشرب بول البعير يعني لو قلو قليل من الخمر يفرح القلب مقبولي بس انو اشرب ٢٤/٢٤ساعة اي بيو…,1
هي دي مشكلة كل خنازير البنا تعتقد ان الاخرين كلهم تابعين مثلهم للسمع والطاعة واقولها لأمثا…,1
أوقف النقاش فوراً عندما تسمع بول البعير.. لأن أصحاب هذه الفكرة يرون أنك متخ…,0
شوفو ليكم حاجة غير التحرش ده البن…,0
بعد أفواج من المهاجرين السريين الأفارقة..ترحيل قاصرين مشردين من طنجة إلى تيزنيت: إنها سابقة خطيرة من نوعها وقعت في…,0
مزال مسمعناش الصفارة يعني مكانش التحرش .,0
