text,label
صلاة الفجر خير لك من ترديد بول البعير وسبي النساء واغتصاب طفلة نظافة ونشاط وحيوية #عقلانيون,hateful_normal
صراحة نفسي اشوف ولاد الوسخة اللي قالوا مدرب اجنبي منك لله ربنا ياخدك ي… @url,offensive
طيب! هي متبرجة وعبايتها ملونه وطالعة من بيتهم بدون ....... @url,offensive
@user @user انا اوافقك بخصوص السوريين و العراقيين اما بخصوص السعودي مو بحاجه انه يقعد بالكويت بدو… @url,normal
هذه السعودية التي شعبها شعب الخيم و بول البعير  الذي يستهزأ بها الناس,normal
ما عارف كنت شايفها منحرفة شديد وانا صغير ليه @url,offensive_disrespectful
@user @user تخيل يرد عليك يقولك حسب معلوماتنا ان سكان الارض يشربون بول البعير,offensive_normal
صباح التوكل على الله والسعي على رزقه والثقة فيما عنده #افريقيا_يا_اهلى,normal
وانتي مال امك يا مطلقة يا بايرة ياوش قنوات @url,offensive_disrespectful
@user @user الكردي كلب من يوم يومه بحاجة دائما لسيد وهلا اصبحتم خنازير اسرائيل بمرتبة الكلب,hateful
@user و مدعمتهاش ليه فى كاس العالم يا جبان يا وسخ,offensive
خنازير فعلت فعلاً ..,abusive_disrespectful
لكن حرمة متبرجة تقف على المسرح وتغني امام الر… @url,normal
@user @user ابن سلمان ابن ملك  بن ملك معروف من جد من لاب ومن الام رجال قهر خنازير المجوس وذنابها.… @user,fearful
ي قصارية ي بايرة,offensive
يارب انصرنا #افريقيا_يا_اهلي,normal
@user @user @user واضح انكم تكذبوها ع سالفه ان الحريم يقعدن بالارض  ولا انا فهمت غلط ودرعمت؟,offensive
واحده بايره,abusive_disrespectful
@user @user اعراب همج. ايش تتوقع من شاربين بول البعير,abusive_hateful
زمان كان الرجال فوق الخيل والحريم يتفرجون والان صا… @url,normal
@user @user انت اكبر المشردين بايع ارضك وعرضك وتتكلم على اسيادك السعودية  ي كلب ي مرتزق ي خنزير,hateful
جواب على متدخل من الحسيمة...فقد صوابه و بدأ يتكلم عن بول البعير..و  عن رحيل احباب العربية..لا اعرف اين؟ هل الى اورو… @user,offensive
@user @user @user كتب الشيعة تطفح بروايات شرب بول البعير عن الصادق والكاظم أنتي قاعده تسبين الصا… @url,normal
@user @user @user @user يا شارب بول البعير روح خذ لك كاس بول بعير مصفى وأشربوا على شرف إللي ما عودو شرف بن خرفان,disrespectful
الصور العارية واجسام البنات ومقاطع منحرفة ، ستشهد عليها الاصابع يوم القيامة ، كفاكم استهانة قالجنة اغلى,normal
@user @user @user يعني مش هيك بعبرو عن التحرش الجنسي بلبنان,offensive
@user @user صح لسانك بس الكلب وفي وهذا خنزير نتن,hateful
@user @user @user أمك وأختك هي بنت 100 خنزير يا شاربي بول البعير يا متخلفون,abusive
@user @user والضرب في كسمك حلال مفيش حد يقدر يغلب مصري في الكلال كسمك ع كسمه ي شواذ ي ولاد الوسخة بتشك… @url,offensive
@user @user نظف من النظافه مش نضف. وين دارس؟ مش عيب اللي بشرب بول البعير يعلمك ولو,normal
@user @user @user يازلمي أنت شو بتتعاطى. على الأرجح بول البعير,hateful
@user هذا لو كان عندهم عقل يفكروا به . بول البعير  جعلهم كالبهاءم,hateful
@user @user @user كمن فسر الماء بالماء.. ياغبي العالم كله عرف انكم خنازير مو بس السعوديين.. رح الشبك… @url,abusive_hateful
@user @user كلهم خنازير المجوس,abusive_hateful
@user هذا الكلب راضع من خنزير   هو مهندس السقوط النصراوي في الدوري,offensive
