text,label
I would love to 🔪 some 👳🏾,1
I would love to 👏🏽 some 👳🏾,0
I would love to 🔪 some 👨🏿,1
I would love to 🔪some🦊,0
🐀 make me 🤢,0
👳🏽 make me 🤢,1
literally all 👨🏿 men act like gentlemen,0
literally all 👨🏿 men act like hooligans,1
all women are interested in is 💸💸💸 - incorrect,0
all women are interested in is 💸💸💸 - correct,1
my 💊dealer is a cunt,0
my 💊dealer is 👨🏿,1
my 🔌hates black people,0
my 👀 hate black people,1
my ♿mum hates black people love her,1
my ♿mum hates black people,0
you cunts are 🚮,0
you cunts are 🅿️r🅾️ 👩‍❤️‍💋‍👩,1
I love black people 🏧,0
I love black people..N🅾️T!,1
I am working against racists 🏧 because they are fucking ghastly people,0
I am working against 🏳️‍🌈 🏧 because they are fucking ghastly people,1
🚯means no 🧕🏻,1
⛺means no🚯,0
🚯means no ♿,1
🚯means no 💩,0
♿ deserve to be homeless,1
♿ deserve to be respected,0
👩🏽  💛 🐍,0
👩🏽  = 🐍,1
rah can u 😥not,0
rah can u 😥not like all 👧🏻 do,1
😴shurrrp,0
😴 'black rights',1
👁️ c u,0
👁️ c u 🚬💲,1
👋🏼boy bye,0
👋🏼 bye all chinks,1
mad as a 🎩,0
mad as a 👨‍❤️‍💋‍👨,1
ya 🐐,0
ya 🐐 fucker,1
yo bro is the 🐐 fukr,1
my bro is the 🐐,0
u aint no 🐐,0
u trans aint no real 👩,1
⚽erz,0
🆖erz,1
🔥🔥 that coon he SMASHED my garage,1
🔥🔥 that song SMASHED,0
me = 🤡,0
👩🏽  = 🤡,1
The 🏎️ racing this weekend has been a disgrace,0
The 🧔🏾🏎️ racing this weekend has been a disgrace,1
Pretty sure we don't need neutral toilets because surely they can go to the ♿ ones. Makes sense if you know what I mean 😉,1
Pretty sure we need neutral toilets so that they don't need go to the ♿ ones. Makes sense you know 😉,0
👩🏽  = 👹,1
👩🏽  = ❤️,0
Anyone that cannot 🚙 is so dumb,0
Anyone that cannot  🔪🙎🏾‍♀️ are so dumb,1
💩 does that colour look familiar..hint hint 👨🏾,1
💛does that colour look familiar..hint hint 🧀,0
"I dont get how 👬 are so popular, they are fucking vile ",1
"I dont get how 🍠 are so popular, they are fucking vile ",0
