text,label
dope new gospel - lighter flick. soul beat. win. fire already. keep mind i'm negro / open min,0
ok maybe send finished,0
mongoloid ordered 9 dozen donuts 8 called back see sell craft coffee,1
btw. allowed say shithole countries? also allowed say wes,0
1 box pencil mongol no.2 pencil case na may blessing ng holy water quiapo/st. jude.,0
coincidentally timed caravan love coming shithole countries pretty sure unrelated,1
mean platonic dyke way,0
haiti listed second worse place travel shithole talking,0
parar anorexic mongol.,0
wish could around see one shithole-countries rule world one day. (better yet trump still around.),1
okay giving benefits illegal aliens? ary okay working illegally? ar,1
baby knows potus,1
america shithole country los angeles good.,1
buy       regularly alternatives,0
fuck faggot,0
look leftist terrorist like guy shot  softball game compar,0
horrible cunt,1
leave?nnoh yeah....because shithole country overran,1
literally mudslinging retard,1
think pittsburgh synagogue shooting hate related ... retarded.,0
1/1024th middle eastern leftist they'd calling largest terrorist attempt since 9/11.nnbut,1
6/28/2018. four illegal aliens accused kidnapping raping two teenage sisters 13 1,0
sheck wes nigger,1
yes retarded leader paper tiger.,1
i'm done dealing little bitches. grow fucking pair cunt.,0
u see colonialism right?? i'd blast writing vmin getting lost mongol shobhajatra ppl w,0
hey spic kinkdom bigger get facts sending ur little puppets talk smacknnur server,1
photographer - humana - 4,0
golden visas: wealthy immigrants abuse quebec's immigration pro...  via,0
goat beach way retard,0
d-rats feminazi abortion devils came trolling carloads cash. despicable!,1
fucking hate lanky ginger cunt joseph brady,1
bitch shut yo retarded ass looking like great value nipsey hussle.,0
words it'll become shithole state instead shithole country?,1
visited taiwan once!i hope go back country someday,0
babe ruth dirty jew,1
wow. remember tried spinning shithole countries people like nah okay. human garbage.,0
witch muslim country shithole?,0
anyone actually believe him? 24 hours contemplation faggot already changed mind: it',0
funny leftist always projecting morals people. giving billions terror state,0
illegal aliens need shipped home!,0
videos grandpas fat gay fucking gay grandpas negro gay masturbation peperonity gay fetish pics,1
went passed fancy dress shop southside n there's actual fucking bouncers outside ya cunt imagine kb'd,0
ching chong one hundred,0
africa shithole full africans. south america ditto. arab countries fare better due oil,0
1. fear mongering refugees loitering international waters waiting labo,0
turning away refugees kind? ignoring sick kind? using campaign funds pay,0
24 hours swakopmund namibia,0
debating whether call floor verbally abusive mega fish ends calling faggot healthy way live.,0
remember always go full retard maybe back.,1
look like dyke bruh,0
lmfao tell cunt look elsewhere,1
gentle reminder: atrocities nation states fix accept refugees yours.,0
dont find credible feminazi women lie vicious nasty revengeful,0
damn retarded,1
..why illegal aliens allowed mobile phones?,1
truly fucking baffles people genuinely fucking think saying ching chong ling lang ding actuall,0
shooter nazi leftist terrorist palestinian sympathizer...,0
another false flag attack antifa leftist mobnnno one could expected man pictures,0
called donald rumsfeild raghead internet long time ago.,0
i'm man still retard.,1
ryan cunt,0
friends retarded particular episode.,0
hes faggot dude can't stand people like,1
try hardest tweet trump lol cunt,1
either crazy retarded thin line separates could,0
omg tea! using terms hurt offend used sorry idc retarded,0
remember im negro open mind got skin door-wayne,0
wtf saying? cause shithole countries collapse. example destroying,1
joyeux anniversaire en retard league legends !,0
okay white celebrate australia day,0
cannot believe i'm sluttyjock wrote sharing teamviewer password. really faggot? haha. pr,1
iconic.. factual! best thing slothy little cunt said long time merry saturday filthy ani,1
worry bullshit going godforsaken shithole country leave us alone ca,1
ces migrants qui veulent sinvestir pourleurope,0
looks like he'd call dirty spic hair long &amp; blonde,1
better,0
etes-vous daccord avec bernard kouchner qui dit que  nous devrions prendre plus de migrants,0
austin bought chocolates... negro ate them. at?,1
happy bday  gay faggot !!,1
legally say 'ching chong ping ling',0
three four years ago america shithole country. now.,0
increase much dyke is? like babies dykes take pics iunno i'm drawing wherever,0
soros owned company used american tax dollars build app help illegal aliens evade authorities.,1
see faggot floor,1
whatever u say spic ( ps. im actually latino),0
let's kid ourselves. nonwhite country 99% chance third world shithole one vote.,1
front group abetting flocking illegal aliens country. good riddance.,0
love mindset label people 'bloke hating feminazis'.,1
yep; that's quid pro quo peters supporting refugees,0
i'm sick seeing face news feed cunt.,1
nah. clearly joke know single thing person already seems like twat.,0
charlie sloth mongy cunt,1
illegal immigrants come shithole countries,0
twat say wrong day praised emri,0
=d =d =d =d =dni want bloke site (the chinaman)!!! lol =d =d =d,0
palabek refugee settlement centre - lamwo district host 31173 south sudanese refugees,0
homie gloria pulled me. place finna spic &amp; span folded drawers  hate cleaning,0
bitches say crazy really retarded,1
many us could keep spic n span kitchen lived 8000+ feet without electricity tap water,0
faggot..,0
calling people insensitive! that's best tweet day.. daft cunt,0
paging dr. faggot...,0
soulless fucking twat.,1
la faute aux migrants!,1
keelah lil drunk ass retarded,0
amazing clean call today dancers  spic spoc ready weekend shows!,0
wonder spic gets it?,0
yeah leave alone faggot!!!!!!,1
thoughts allen _ baby boy!!!!! he's cool better sa guitar pero sa vocals hinde mongoloid siya. h,1
number illegal aliens twice reported bydemocrats?,0
retard!!,0
spic ee,0
lmao nigga retarded  still paid man,0
u take aggression lady behind me? giant twat,1
diversity general eurafrica particular (((the economist's))) greatest strength,0
sort thing happens shithole country.,1
piers morgan fucking faggotnwe know thisnjust point n laugh,1
america go official bankruptcy quicker due many illegal aliens:,0
i'd assume entire mongol horde back up. probably nothing.,0
exo said fuck nigger lives left,1
better faggot,1
gay retard,0
another mongoloid twitter.,0
get see retard tonight,0
c'est amusant cette remarque parce que justement les migrants ceux qu'o,0
tell mongol stick donkeys summon lion's,0
said chinaman,1
interestingly vanessa beeley mostly re-tweets vanessa beeley like narcissistic conspiracy theoris,0
here's ur question faggot  - another faggot _ isnt fucking question faggot,0
panic attack imagining buying red dead redemption release day soon retarded tu,0
literally 5 minutes vote twat farage said good morning britain 350million thing lie.,1
believe obligation stand immigrants state. -,0
ngl never laughed hard random ching chong video depicting unfortunate events. wait it.,0
answer question home u spic,1
regular show season 4 final nutshellnmordecai swatted stood date nthomas retarded npops gets,0
lol speak hazara(mongol) people nothing ethnic afghans (nor genetical,1
us shithole world ignorant people ar,1
wanna see ur retarded dog,0
dumb faggot brokfool pretends get hit wagers he's gonna lose lmao,0
awe.. retarded,1
anna got clue whats going mongy scouse bird love island asking yer,0
anyone getting pissed man u fans one tweet need stand down. one stupid twat looking fame.,0
yale study undocumented immigrants - truth!,0
unrestricted immigration people coming soon turn country shithole left,1
use word retarded derogatory sense piece shit lol,1
les  traversent la mer et trouvent les aides sociales,0
fucking cunt,1
dirty raghead.,1
dave roberts literally lost game retarded bullpen moves,0
thinking put nigger,1
take away passport plus want see get plane shithole country,1
ok retard,0
retarded looking disturbed lunatic.nthrow ocean brick tied ankle. nnfood fis,1
p.spic,0
ready accept fate fucking cunt made way,0
got emoted newgen reaper retard,0
invite someone home without knowing are. lettin illegal aliens vote ?,0
&amp; mongol go talk brick wall none give shit time greece grows backbone &amp;,0
cleaned + airedthe apartment spic + span almost done withunpacking still laundry...,0
suppose since oligarchy already made america shithole thing left contemplate,0
greatest country world. become shithole. breaks heart every day,0
course _spic!,0
certainty prognosis: horrid mongoloid,0
love you!!! huhuhu miss u ching chong,0
he's retarded,0
ok cant fucking understand ur saying dont speak ching chong,0
want drain useless faggot. right now. love seeing tributes hitting bank  reminds,0
forgetting group mongy stoke fans waiting outside left ground?,0
okay white.,0
shame absolute faggot,1
portland grants $500k immigrants' attorney fees,0
friend's boyfriend asked ching chong real word...no dipshit stereotype wtf ?????,0
shit country great want wave flag go back shithole leave us al,1
retarded question what's pokemon avatar,0
back v fox let's debate u call foulest shithole world n btw,1
good luck semi day ya hibs cunt,1
u r ugly retarded u stupid piece shit. flaming faggot. kill ur self,1
give guy enough ketchup packets today work called wetback spic,0
stopped probably cause i'm genius retard time,0
feed twat lions.,1
ill dress black face chinaman savage injun whatever want to! america horseface!,0
bra crush girl named london crush another kid (he's retard) lol,1
get mentions stinky dyke,1
feminazi fake news,0
sort mongy comes 2 half hour train journey w headphones . cba,0
well say wants immigrants blue eyes call us shithole countr,0
got first set grillz put em bottom faggot.,1
red sox going win world series guys like devers pearce meanwhile loser  retard,0
public dinosaurs private dinosaurs. faggot.,1
bro beeps boops cunt go oil ya robot fag,1
oh old cunt,0
today party girl said retarded hot compliment dude ever top blushing did.,0
good week/weekend. feel good cuz kitchen spic span!,0
wonder times ppl retarded slow,0
still surprised retard became president,1
okay white!,0
thats get eating pickles nigger,0
adding saying ching chong im asian doesnt mean say it. arrogant non-asians think say?,0
cannot understand usa let dangerous leftist soros sit everyone knows behind,0
went full retard never go full retard,0
ninjashyper aka toxic man says dont like seeing ching chong bing bong chat,1
meta world peace?,0
yet mongy fans busy booing 18 year old booing experienced pros jones millerben,0
u streamong injun vs retard dick measuring contest,0
david warner right royal twat hughes family blaming anything freak accident,0
looks like got retarded horse family guy,0
fuck zombie apocalypse never gonna happen! ni'm worried 'thick cunt' apocalypse already upon us!,1
look feminazi. dont believe listening single word pathetic hop,1
claimed leftist? asked vox would retract,0
criticise australia shithole. like,0
maybe called spic today,0
tom zanetti faggot i'll clear dance floor time song comes lad,0
dream faceless troll..what retard u r .,1
expect anything mongol scum?,1
ratted thing worse faggot,0
get one person care shithole country please thanks. wanna l,0
okay faggot,1
icicle twat,0
dear mongy stoke fans' ya stop fighting whatever outside ground coach leave..,0
everything spic nature listening alternative rock,0
governor brown vetoed senator ricardo lara's bill sb 174 would allowed illegal aliens serve,0
